StudentID,Name,Math,Science,English,Grade,EnrollmentDate
S1084,David,74.0,65.0,79.0,F,2024-02-01
S1085,Alice,88.0,85.0,82.0,E,
S1086,Fiona,78.0,95.0,36.0,F,invalid_date
S1087,George,42.0,91.0,55.0,B,2024-02-01
S1088,Eva,40.0,85.0,55.0,B,2024-01-10
S1089,Bob,100.0,45.0,49.0,F,2024-01-10
S1090,David,44.0,72.0,58.0,A,2024-01-15
S1091,Julia,92.0,35.0,56.0,D,2024-02-01
S1092,Fiona,80.0,36.0,92.0,B,invalid_date
S1093,David,42.0,89.0,97.0,F,
S1094,Hannah,92.0,92.0,89.0,,
S1095,George,67.0,35.0,76.0,F,invalid_date
S1096,Hannah,56.0,35.0,47.0,C,2024-01-15
S1097,Charlie,64.0,87.0,32.0,D,
S1098,Eva,82.0,,63.0,E,2024-02-01
S1099,Charlie,72.0,52.0,92.0,A,2024-01-15
S1080,Ian,85.0,84.0,87.0,C,2024-01-10
S1084,David,74.0,65.0,79.0,F,2024-02-01
S1033,David,60.0,95.0,85.0,B,
S1081,David,73.0,77.0,50.0,A,2024-01-10
S1093,David,42.0,89.0,97.0,F,
